Match ID,Map,Player,Team,Agent,2K,3K,4K,5K,1v1,1v2,1v3,1v4,1v5,ECON,PL,DE
459826,Split,Sayf,VIT,Tejo,5,0,0,0,0,1,0,0,0,78,1,0
459826,Split,Derke,VIT,Yoru,4,0,0,0,1,0,0,0,0,43,5,0
459826,Split,Less,VIT,Cypher,2,1,0,0,0,0,0,0,0,52,0,0
459826,Split,Kicks,VIT,Breach,1,0,0,1,0,0,0,1,0,46,3,0
459826,Split,CyvOph,VIT,Omen,3,2,0,0,0,1,0,0,0,59,0,0
459826,Split,purp0,GX,Yoru,1,0,0,0,0,0,0,0,0,37,1,0
459826,Split,Cloud,GX,Tejo,3,1,0,0,0,0,0,0,0,66,1,0
459826,Split,tomaszy,GX,Omen,1,0,0,0,0,0,0,0,0,21,0,0
459826,Split,runneR,GX,Breach,2,1,0,0,1,0,0,0,0,65,3,1
459826,Split,westside,GX,Cypher,2,5,0,0,0,0,0,0,0,67,1,0
459826,Lotus,Sayf,VIT,Tejo,0,0,0,0,0,0,0,0,0,42,3,0
459826,Lotus,Derke,VIT,Yoru,3,1,0,0,0,0,0,0,0,60,0,0
459826,Lotus,Less,VIT,Viper,1,1,1,0,0,0,0,0,0,72,1,0
459826,Lotus,Kicks,VIT,Breach,1,1,0,0,0,0,0,0,0,39,6,1
459826,Lotus,CyvOph,VIT,Omen,4,2,1,0,0,0,0,0,0,108,1,0
459826,Lotus,purp0,GX,Raze,1,0,0,1,0,0,0,0,0,63,0,0
459826,Lotus,Cloud,GX,Fade,2,0,0,0,1,0,0,0,0,44,1,1
459826,Lotus,tomaszy,GX,Omen,0,0,0,0,0,0,0,0,0,30,0,0
459826,Lotus,runneR,GX,Vyse,1,0,0,0,0,0,0,0,0,43,0,0
459826,Lotus,westside,GX,Viper,3,0,0,0,0,0,0,0,0,45,0,0
459827,Icebox,MAGNUM,BBL,Viper,0,0,1,0,0,0,0,0,0,23,2,0
459827,Icebox,PROFEK,BBL,Clove,0,0,0,0,0,0,0,0,0,26,0,0
459827,Icebox,sociablEE,BBL,Sova,0,0,0,0,0,0,0,0,0,37,0,0
459827,Icebox,Jamppi,BBL,Tejo,2,0,0,0,0,0,0,0,0,42,6,0
459827,Icebox,LewN,BBL,Chamber,3,0,0,0,0,0,0,0,0,66,0,0
459827,Icebox,saadhak,KC,Kayo,1,0,0,0,0,0,0,0,0,42,1,0
459827,Icebox,SUYGETSU,KC,Viper,1,0,0,0,0,0,0,0,0,71,0,2
459827,Icebox,Avez,KC,Tejo,1,2,1,0,0,0,0,0,0,70,2,0
459827,Icebox,marteen,KC,Omen,3,1,0,0,0,0,0,0,0,62,0,1
459827,Icebox,Elite,KC,Killjoy,4,3,0,0,0,0,0,0,0,180,0,2
459827,Pearl,MAGNUM,BBL,Vyse,8,0,0,0,0,0,0,0,0,65,3,0
459827,Pearl,PROFEK,BBL,Astra,5,0,0,0,1,0,0,0,0,53,1,1
459827,Pearl,sociablEE,BBL,Chamber,2,0,1,0,1,0,0,0,0,40,0,0
459827,Pearl,Jamppi,BBL,Sova,4,1,0,0,0,0,0,0,0,73,2,0
459827,Pearl,LewN,BBL,Yoru,2,2,0,0,0,0,0,0,0,61,0,0
459827,Pearl,saadhak,KC,Harbor,2,1,0,0,0,0,0,0,0,52,4,0
459827,Pearl,SUYGETSU,KC,Astra,4,1,1,0,0,0,0,0,0,55,0,0
459827,Pearl,Avez,KC,Fade,2,0,0,0,1,0,0,0,0,33,1,1
459827,Pearl,marteen,KC,Yoru,2,1,0,0,0,0,0,0,0,52,0,1
459827,Pearl,Elite,KC,Vyse,3,2,0,0,0,0,0,0,0,48,0,0
459827,Fracture,MAGNUM,BBL,Cypher,3,1,0,0,0,0,0,0,0,59,0,0
459827,Fracture,PROFEK,BBL,Astra,5,1,0,0,0,0,0,0,0,47,0,0
459827,Fracture,sociablEE,BBL,Tejo,6,0,0,0,2,0,0,0,0,62,0,2
459827,Fracture,Jamppi,BBL,Breach,3,0,0,0,0,0,0,0,0,35,5,0
459827,Fracture,LewN,BBL,Yoru,4,1,0,0,0,0,0,0,0,52,0,0
459827,Fracture,saadhak,KC,Breach,3,0,0,0,0,0,0,0,0,40,1,0
459827,Fracture,SUYGETSU,KC,Astra,3,1,0,0,0,0,0,0,0,68,1,0
459827,Fracture,Avez,KC,Tejo,3,0,0,0,0,0,0,0,0,55,5,2
459827,Fracture,marteen,KC,Jett,4,0,1,0,0,1,0,0,0,64,0,0
459827,Fracture,Elite,KC,Cypher,2,0,0,0,0,0,0,0,0,24,0,0
459828,Ascent,Boo,TH,Omen,1,1,0,0,0,1,0,0,0,51,2,0
459828,Ascent,RieNs,TH,Sova,3,0,0,0,0,0,0,0,0,53,2,0
459828,Ascent,MiniBoo,TH,Waylay,3,0,1,0,0,0,0,0,0,49,3,0
459828,Ascent,Wo0t,TH,Kayo,1,0,0,0,0,0,0,0,0,32,1,0
459828,Ascent,benjyfishy,TH,Cypher,4,0,0,0,0,0,0,0,0,37,1,0
459828,Ascent,MOLSI,APK,Deadlock,2,0,1,0,0,0,0,0,0,55,1,0
459828,Ascent,AvovA,APK,Omen,3,0,2,0,2,1,0,0,0,100,2,1
459828,Ascent,Governor,APK,Sova,3,1,0,0,0,1,0,0,0,62,2,1
459828,Ascent,florescent,APK,Yoru,2,2,0,0,0,0,0,0,0,52,1,1
459828,Ascent,batujnax,APK,Cypher,2,0,0,0,0,0,0,0,0,42,0,1
459828,Split,Boo,TH,Omen,2,0,0,0,0,0,0,0,0,34,3,0
459828,Split,RieNs,TH,Fade,4,1,0,0,0,0,0,0,0,60,1,0
459828,Split,MiniBoo,TH,Raze,4,2,1,0,0,0,0,0,0,59,0,1
459828,Split,Wo0t,TH,Iso,2,1,0,0,0,0,0,0,0,72,3,0
459828,Split,benjyfishy,TH,Viper,4,0,0,0,0,0,0,0,0,50,0,2
459828,Split,MOLSI,APK,Breach,3,0,0,0,0,0,0,0,0,51,4,0
459828,Split,AvovA,APK,Omen,0,3,0,0,0,0,1,0,0,68,3,0
459828,Split,Governor,APK,Tejo,3,0,0,0,0,0,0,0,0,32,1,0
459828,Split,florescent,APK,Yoru,2,1,1,0,0,0,0,0,0,47,0,0
459828,Split,batujnax,APK,Viper,2,1,0,0,0,0,0,0,0,52,1,0
459828,Icebox,Boo,TH,Viper,3,0,0,0,0,0,0,0,0,66,0,1
459828,Icebox,RieNs,TH,Sova,4,0,0,0,0,0,0,0,0,71,4,0
459828,Icebox,MiniBoo,TH,Neon,6,2,0,0,0,0,0,0,0,60,0,0
459828,Icebox,Wo0t,TH,Tejo,3,1,0,0,0,0,0,0,0,72,6,1
459828,Icebox,benjyfishy,TH,Vyse,3,0,0,0,0,0,0,0,0,72,0,0
459828,Icebox,MOLSI,APK,Breach,1,0,1,0,0,1,0,0,0,37,1,1
459828,Icebox,AvovA,APK,Viper,2,0,0,0,1,0,0,0,0,44,0,1
459828,Icebox,Governor,APK,Tejo,1,0,0,0,0,0,0,0,0,33,1,0
459828,Icebox,florescent,APK,Waylay,1,1,0,0,0,0,0,0,0,40,0,0
459828,Icebox,batujnax,APK,Killjoy,1,1,0,0,0,0,0,0,0,53,1,1
459829,Pearl,qRaxs,FUT,Fade,0,0,0,0,0,0,0,0,0,20,3,0
459829,Pearl,AtaKaptan,FUT,Astra,2,0,0,0,0,0,0,0,0,52,1,0
459829,Pearl,MrFaliN,FUT,Tejo,3,1,0,0,1,0,0,0,0,70,6,0
459829,Pearl,yetujey,FUT,Cypher,3,1,0,0,0,0,0,0,0,52,0,0
459829,Pearl,xeus,FUT,Yoru,3,4,0,0,1,0,0,0,0,103,0,2
459829,Pearl,soulcas,MKOI,Vyse,0,1,0,0,0,0,0,0,0,40,0,1
459829,Pearl,sheydos,MKOI,Chamber,2,0,0,0,0,0,0,0,0,43,0,0
459829,Pearl,flyuh,MKOI,Sova,2,0,0,0,0,0,0,0,0,62,1,1
459829,Pearl,Filu,MKOI,Yoru,3,1,0,0,0,0,0,0,0,48,0,0
459829,Pearl,grubinho,MKOI,Astra,1,0,1,0,0,0,0,0,0,28,1,0
459829,Lotus,qRaxs,FUT,Fade,3,0,0,0,0,0,0,0,0,33,3,1
459829,Lotus,AtaKaptan,FUT,Omen,3,0,0,0,0,0,0,0,0,44,0,0
459829,Lotus,MrFaliN,FUT,Breach,4,0,1,0,0,0,0,0,0,58,3,2
459829,Lotus,yetujey,FUT,Cypher,5,2,0,0,0,0,0,0,0,56,0,0
459829,Lotus,xeus,FUT,Jett,8,1,2,0,0,0,0,0,0,66,0,1
459829,Lotus,soulcas,MKOI,Vyse,1,1,0,0,0,0,0,0,0,42,1,0
459829,Lotus,sheydos,MKOI,Tejo,3,2,0,0,1,1,0,0,0,58,4,1
459829,Lotus,flyuh,MKOI,Cypher,3,0,0,0,0,0,0,0,0,37,0,1
459829,Lotus,Filu,MKOI,Yoru,3,2,0,0,1,0,0,0,0,37,0,1
459829,Lotus,grubinho,MKOI,Omen,5,0,0,0,1,0,0,0,0,40,2,0
459830,Split,crashies,FNC,Fade,4,1,1,0,1,0,0,0,0,99,4,0
459830,Split,Boaster,FNC,Astra,1,1,0,0,0,0,0,0,0,43,1,1
459830,Split,Chronicle,FNC,Viper,5,0,0,0,0,0,0,0,0,54,1,0
459830,Split,kaajak,FNC,Yoru,2,1,0,0,0,0,0,0,0,50,2,0
459830,Split,Alfajer,FNC,Raze,2,1,0,0,0,0,0,0,0,36,1,0
459830,Split,ANGE1,NAVI,Fade,0,0,0,0,1,0,0,0,0,24,0,1
459830,Split,Shao,NAVI,Astra,5,0,0,0,0,1,0,0,0,67,0,0
459830,Split,koalanoob,NAVI,Raze,2,1,0,0,0,0,0,0,0,71,1,0
459830,Split,Ruxic,NAVI,Omen,0,1,0,0,0,0,0,0,0,38,0,1
459830,Split,hiro,NAVI,Vyse,1,0,0,0,0,0,0,0,0,28,1,0
459830,Fracture,crashies,FNC,Tejo,3,0,2,0,0,0,0,0,0,67,3,0
459830,Fracture,Boaster,FNC,Brimstone,2,1,0,0,0,0,0,0,0,48,2,1
459830,Fracture,Chronicle,FNC,Breach,3,0,0,0,1,0,0,0,0,52,3,0
459830,Fracture,kaajak,FNC,Neon,5,0,0,0,0,0,0,0,0,35,1,0
459830,Fracture,Alfajer,FNC,Cypher,3,0,0,0,0,0,0,0,0,50,1,1
459830,Fracture,ANGE1,NAVI,Fade,0,1,0,0,0,0,0,0,0,36,3,0
459830,Fracture,Shao,NAVI,Breach,1,1,0,0,0,0,0,0,0,57,4,1
459830,Fracture,koalanoob,NAVI,Raze,6,2,0,0,0,0,0,0,0,52,0,0
459830,Fracture,Ruxic,NAVI,Brimstone,3,0,0,0,0,0,0,0,0,42,0,3
459830,Fracture,hiro,NAVI,Cypher,2,2,0,0,0,0,0,0,0,51,0,0
459831,Split,paTiTek,TL,Fade,1,2,0,0,0,0,0,0,0,66,1,0
459831,Split,nAts,TL,Viper,1,2,0,0,0,0,0,0,0,63,0,0
459831,Split,Keiko,TL,Raze,4,2,0,0,0,0,0,0,0,77,0,0
459831,Split,kamo,TL,Yoru,2,1,0,0,0,1,0,0,0,51,2,2
459831,Split,Serial,TL,Astra,0,0,0,0,0,0,0,0,0,46,2,0
459831,Split,Zyppan,M8,Tejo,2,0,0,0,0,0,0,0,0,56,1,0
459831,Split,kamyk,M8,Breach,1,0,0,0,0,0,0,0,0,32,3,0
459831,Split,Click,M8,Raze,1,0,0,0,0,0,0,0,0,25,0,0
459831,Split,Kada,M8,Omen,1,0,0,0,0,0,0,0,0,41,1,0
459831,Split,Minny,M8,Viper,1,1,2,0,1,0,0,0,0,66,0,1
459831,Haven,paTiTek,TL,Breach,4,1,0,0,0,0,0,0,0,47,2,0
459831,Haven,nAts,TL,Cypher,4,1,0,0,0,0,0,0,0,42,1,0
459831,Haven,Keiko,TL,Omen,7,0,0,0,0,0,0,0,0,59,2,0
459831,Haven,kamo,TL,Jett,3,1,0,0,1,0,0,0,0,47,1,0
459831,Haven,Serial,TL,Tejo,2,0,0,0,0,0,0,0,0,30,1,0
459831,Haven,Zyppan,M8,Sova,5,1,0,0,0,0,0,0,0,57,3,0
459831,Haven,kamyk,M8,Breach,6,1,0,0,0,0,0,0,0,56,3,0
459831,Haven,Click,M8,Neon,3,0,0,0,0,0,0,0,0,24,0,1
459831,Haven,Kada,M8,Omen,3,0,0,0,1,0,0,0,0,38,1,0
459831,Haven,Minny,M8,Cypher,5,2,0,0,0,1,0,0,0,83,1,1
459831,Icebox,paTiTek,TL,Tejo,1,0,0,0,0,0,0,0,0,35,2,0
459831,Icebox,nAts,TL,Viper,3,0,0,0,1,0,0,0,0,53,0,0
459831,Icebox,Keiko,TL,Omen,3,0,0,0,0,0,0,0,0,57,0,0
459831,Icebox,kamo,TL,Waylay,1,1,0,0,1,0,0,0,0,43,0,1
459831,Icebox,Serial,TL,Killjoy,4,0,0,0,0,0,0,0,0,69,2,0
459831,Icebox,Zyppan,M8,Tejo,2,2,0,0,0,0,0,0,0,79,1,0
459831,Icebox,kamyk,M8,Kayo,5,0,0,0,0,1,0,0,0,55,6,0
459831,Icebox,Click,M8,Waylay,4,1,0,0,0,0,0,0,0,43,1,0
459831,Icebox,Kada,M8,Viper,2,1,0,0,0,0,0,0,0,52,0,1
459831,Icebox,Minny,M8,Killjoy,2,2,0,0,0,0,0,0,0,53,1,1
459832,Fracture,paTiTek,TL,Breach,4,3,0,0,0,1,0,0,0,88,0,2
459832,Fracture,nAts,TL,Vyse,4,2,0,0,0,0,0,0,0,64,0,0
459832,Fracture,Keiko,TL,Brimstone,4,1,0,0,1,0,0,0,0,63,2,0
459832,Fracture,kamo,TL,Neon,1,0,0,0,0,0,0,0,0,28,0,0
459832,Fracture,Serial,TL,Tejo,3,1,0,0,1,0,0,0,0,54,2,0
459832,Fracture,MAGNUM,BBL,Cypher,2,0,0,0,0,0,0,0,0,49,0,0
459832,Fracture,PROFEK,BBL,Astra,3,1,0,0,0,0,0,0,0,65,0,0
459832,Fracture,sociablEE,BBL,Tejo,4,2,0,0,0,0,0,0,0,74,1,0
459832,Fracture,Jamppi,BBL,Breach,3,0,0,0,0,0,0,0,0,35,3,0
459832,Fracture,LewN,BBL,Yoru,4,0,0,0,0,0,0,0,0,36,1,0
459832,Haven,paTiTek,TL,Sova,1,0,0,0,0,0,0,0,0,30,4,0
459832,Haven,nAts,TL,Cypher,3,0,0,0,0,0,0,0,0,38,0,0
459832,Haven,Keiko,TL,Iso,4,1,0,0,0,0,0,0,0,63,1,0
459832,Haven,kamo,TL,Neon,3,1,0,0,0,0,0,0,0,43,1,0
459832,Haven,Serial,TL,Astra,1,0,0,0,0,0,0,0,0,25,2,0
459832,Haven,MAGNUM,BBL,Cypher,2,3,0,0,1,0,0,0,0,86,1,1
459832,Haven,PROFEK,BBL,Omen,2,1,0,0,0,0,0,0,0,68,0,0
459832,Haven,sociablEE,BBL,Sova,2,0,0,0,0,0,0,0,0,47,1,1
459832,Haven,Jamppi,BBL,Breach,3,1,1,0,0,0,0,0,0,70,3,1
459832,Haven,LewN,BBL,Jett,1,0,0,0,0,0,0,0,0,33,0,1
459832,Ascent,paTiTek,TL,Tejo,3,0,0,0,0,0,0,0,0,59,1,0
459832,Ascent,nAts,TL,Cypher,1,2,0,0,1,0,0,0,0,93,0,1
459832,Ascent,Keiko,TL,Omen,4,1,0,0,0,0,0,0,0,67,0,0
459832,Ascent,kamo,TL,Jett,4,0,1,0,0,0,0,0,0,85,0,0
459832,Ascent,Serial,TL,Deadlock,2,2,0,0,1,0,0,0,0,64,0,3
459832,Ascent,MAGNUM,BBL,Kayo,2,1,0,0,0,0,0,0,0,43,1,0
459832,Ascent,PROFEK,BBL,Astra,2,1,0,0,0,0,0,0,0,41,0,0
459832,Ascent,sociablEE,BBL,Fade,1,1,0,0,0,0,0,0,0,43,1,0
459832,Ascent,Jamppi,BBL,Tejo,0,2,0,0,0,0,0,0,0,43,2,0
459832,Ascent,LewN,BBL,Yoru,2,0,0,0,0,0,0,0,0,28,0,0
459833,Lotus,MOLSI,APK,Breach,4,2,0,0,0,0,0,0,0,66,6,2
459833,Lotus,AvovA,APK,Omen,2,1,0,0,0,0,0,0,0,44,3,1
459833,Lotus,Governor,APK,Tejo,6,0,0,0,0,0,0,0,0,52,2,0
459833,Lotus,florescent,APK,Yoru,4,3,0,0,0,0,0,0,0,61,0,0
459833,Lotus,batujnax,APK,Viper,1,2,0,0,0,0,0,0,0,47,0,2
459833,Lotus,ANGE1,NAVI,Fade,2,1,0,0,2,0,0,0,0,43,1,2
459833,Lotus,Shao,NAVI,Astra,3,1,0,0,0,0,0,0,0,66,3,0
459833,Lotus,koalanoob,NAVI,Chamber,3,0,0,0,1,0,0,0,0,43,2,1
459833,Lotus,Ruxic,NAVI,Omen,1,0,0,0,0,0,0,0,0,34,3,0
459833,Lotus,hiro,NAVI,Raze,4,3,0,0,0,0,0,0,0,73,1,1
459833,Haven,MOLSI,APK,Breach,2,0,0,0,0,0,0,0,0,40,2,0
459833,Haven,AvovA,APK,Omen,1,0,0,0,0,0,0,0,0,35,2,0
459833,Haven,Governor,APK,Sova,2,1,0,0,1,0,0,0,0,37,4,0
459833,Haven,florescent,APK,Neon,2,4,1,0,1,0,0,0,0,63,0,0
459833,Haven,batujnax,APK,Cypher,2,1,0,0,0,0,0,0,0,32,1,2
459833,Haven,ANGE1,NAVI,Vyse,2,0,0,0,0,0,0,0,0,42,3,0
459833,Haven,Shao,NAVI,Sova,3,2,0,0,0,0,0,0,0,69,4,2
459833,Haven,koalanoob,NAVI,Yoru,6,1,0,0,0,0,0,0,0,56,2,0
459833,Haven,Ruxic,NAVI,Omen,2,1,0,0,0,0,0,0,0,53,0,0
459833,Haven,hiro,NAVI,Cypher,2,4,0,0,0,0,0,0,0,55,1,0
459833,Split,MOLSI,APK,Breach,2,0,0,0,0,0,0,0,0,57,1,0
459833,Split,AvovA,APK,Omen,5,0,0,0,0,0,0,0,0,47,1,0
459833,Split,Governor,APK,Tejo,1,0,0,0,0,0,0,0,0,26,0,2
459833,Split,florescent,APK,Yoru,2,2,0,1,0,0,0,0,0,82,1,0
459833,Split,batujnax,APK,Viper,1,0,0,0,0,0,0,0,0,41,0,0
459833,Split,ANGE1,NAVI,Fade,0,0,1,0,0,0,0,0,0,36,4,0
459833,Split,Shao,NAVI,Astra,3,2,0,0,0,0,0,0,0,71,3,0
459833,Split,koalanoob,NAVI,Raze,1,1,0,0,0,0,0,0,0,47,0,0
459833,Split,Ruxic,NAVI,Omen,6,0,2,0,0,1,0,0,0,75,3,0
459833,Split,hiro,NAVI,Vyse,1,1,0,0,0,0,0,0,0,54,1,0
459834,Icebox,qRaxs,FUT,Kayo,1,0,1,0,1,0,0,0,0,44,2,2
459834,Icebox,AtaKaptan,FUT,Viper,1,0,0,0,0,0,0,0,0,38,1,0
459834,Icebox,MrFaliN,FUT,Sova,2,3,0,0,0,0,0,0,0,74,2,1
459834,Icebox,yetujey,FUT,Tejo,3,0,0,0,0,0,0,0,0,33,2,0
459834,Icebox,xeus,FUT,Jett,2,3,0,0,0,0,0,0,0,49,0,0
459834,Icebox,Zyppan,M8,Tejo,3,0,0,0,1,0,0,0,0,45,4,0
459834,Icebox,kamyk,M8,Kayo,7,1,0,0,0,0,0,0,0,69,3,1
459834,Icebox,Click,M8,Waylay,2,2,0,0,0,0,0,0,0,52,0,0
459834,Icebox,Kada,M8,Viper,3,1,0,0,0,0,0,0,0,72,1,0
459834,Icebox,Minny,M8,Killjoy,2,1,1,0,0,0,0,0,0,49,1,1
459834,Fracture,qRaxs,FUT,Kayo,1,2,1,0,0,1,1,0,0,36,5,2
459834,Fracture,AtaKaptan,FUT,Brimstone,4,2,0,0,2,1,0,0,0,46,4,0
459834,Fracture,MrFaliN,FUT,Breach,4,2,0,0,0,0,0,0,0,36,4,0
459834,Fracture,yetujey,FUT,Cypher,5,1,0,0,0,0,0,0,0,47,0,0
459834,Fracture,xeus,FUT,Neon,4,2,0,1,0,0,0,0,0,54,0,1
459834,Fracture,Zyppan,M8,Tejo,6,0,0,0,0,0,0,0,0,42,2,2
459834,Fracture,kamyk,M8,Breach,8,1,2,0,0,2,1,0,0,51,8,1
459834,Fracture,Click,M8,Neon,3,0,0,0,0,0,0,0,0,28,0,0
459834,Fracture,Kada,M8,Brimstone,5,1,0,0,1,0,0,0,0,43,0,2
459834,Fracture,Minny,M8,Cypher,6,2,0,0,1,0,0,0,0,43,0,0
459834,Lotus,qRaxs,FUT,Fade,4,2,0,0,0,1,0,0,0,88,5,0
459834,Lotus,AtaKaptan,FUT,Omen,2,0,1,0,0,1,0,0,0,61,0,1
459834,Lotus,MrFaliN,FUT,Breach,2,1,0,0,0,0,0,0,0,44,0,0
459834,Lotus,yetujey,FUT,Cypher,4,0,0,0,0,0,0,0,0,82,0,1
459834,Lotus,xeus,FUT,Jett,0,0,1,0,0,0,0,0,0,43,0,0
459834,Lotus,Zyppan,M8,Omen,1,0,0,0,0,0,0,0,0,32,2,0
459834,Lotus,kamyk,M8,Fade,1,0,1,0,0,0,0,0,0,46,0,0
459834,Lotus,Click,M8,Yoru,2,0,1,0,0,0,0,0,0,47,0,0
459834,Lotus,Kada,M8,Viper,0,0,0,0,0,1,0,0,0,40,1,0
459834,Lotus,Minny,M8,Vyse,1,1,0,0,0,0,0,0,0,51,3,0
459835,Haven,Boo,TH,Omen,2,0,0,0,1,0,0,0,0,59,3,0
459835,Haven,RieNs,TH,Sova,3,0,0,0,0,0,0,0,0,67,3,1
459835,Haven,MiniBoo,TH,Yoru,2,2,0,0,0,0,0,0,0,57,1,1
459835,Haven,Wo0t,TH,Iso,3,1,0,1,1,1,0,0,0,76,1,0
459835,Haven,benjyfishy,TH,Cypher,1,0,1,0,0,0,0,0,0,69,3,0
459835,Haven,purp0,GX,Iso,2,1,0,0,0,0,0,0,0,53,0,0
459835,Haven,Cloud,GX,Yoru,1,0,0,0,0,0,0,0,0,31,0,0
459835,Haven,tomaszy,GX,Omen,1,1,0,0,0,0,0,0,0,46,0,0
459835,Haven,runneR,GX,Tejo,2,1,0,0,1,0,0,0,0,62,2,2
459835,Haven,westside,GX,Cypher,2,0,0,0,0,0,0,0,0,29,0,0
459835,Split,Boo,TH,Omen,1,4,0,0,1,0,0,0,0,79,3,0
459835,Split,RieNs,TH,Fade,1,1,1,0,0,0,0,0,0,66,2,1
459835,Split,MiniBoo,TH,Raze,4,2,0,0,0,0,0,0,0,48,0,0
459835,Split,Wo0t,TH,Iso,3,0,2,0,0,0,0,0,0,60,0,0
