match_id,match_title,event,date,format,teams,score,maps_played,patch,pick_ban_info
459826,Team Vitality vs GIANTX,VCT 2025: EMEA Stage 1,2025-03-26 12:00:00,Bo3,Team Vitality vs GIANTX,2 - 0,2,Patch 10.05,VIT ban Pearl; GX ban Icebox; VIT pick Split; GX pick Lotus; VIT ban Ascent; GX ban Fracture; Haven remains
459827,BBL Esports vs Karmine Corp,VCT 2025: EMEA Stage 1,2025-03-26 14:15:00,Bo3,BBL Esports vs Karmine Corp,2 - 1,3,Patch 10.05,KC ban Haven; BBL ban Lotus; KC pick Icebox; BBL pick Pearl; KC ban Ascent; BBL ban Split; Fracture remains
459828,Team Heretics vs Apeks,VCT 2025: EMEA Stage 1,2025-03-27 12:00:00,Bo3,Team Heretics vs Apeks,2 - 1,3,Patch 10.05,TH ban Pearl; APK ban Fracture; TH pick Ascent; APK pick Split; TH ban Lotus; APK ban Haven; Icebox remains
459829,FUT Esports vs Movistar KOI(KOI),VCT 2025: EMEA Stage 1,2025-03-27 15:15:00,Bo3,FUT Esports vs Movistar KOI(KOI),2 - 0,2,Patch 10.05,FUT ban Fracture; MKOI ban Haven; FUT pick Pearl; MKOI pick Lotus; FUT ban Ascent; MKOI ban Icebox; Split remains
459830,FNATIC vs Natus Vincere,VCT 2025: EMEA Stage 1,2025-03-28 12:00:00,Bo3,FNATIC vs Natus Vincere,2 - 0,2,Patch 10.05,FNC ban Pearl; NAVI ban Ascent; FNC pick Split; NAVI pick Fracture; FNC ban Lotus; NAVI ban Icebox; Haven remains
459831,Team Liquid vs Gentle Mates,VCT 2025: EMEA Stage 1,2025-03-28 14:30:00,Bo3,Team Liquid vs Gentle Mates,1 - 2,3,Patch 10.05,TL ban Pearl; M8 ban Ascent; TL pick Split; M8 pick Haven; TL ban Lotus; M8 ban Fracture; Icebox remains
459832,Team Liquid vs BBL Esports,VCT 2025: EMEA Stage 1,2025-04-02 11:00:00,Bo3,Team Liquid vs BBL Esports,2 - 1,3,Patch 10.05,TL ban Pearl; BBL ban Split; TL pick Fracture; BBL pick Haven; TL ban Icebox; BBL ban Lotus; Ascent remains
459833,Apeks vs Natus Vincere,VCT 2025: EMEA Stage 1,2025-04-02 13:50:00,Bo3,Apeks vs Natus Vincere,1 - 2,3,Patch 10.05,NAVI ban Ascent; APK ban Fracture; NAVI pick Lotus; APK pick Haven; NAVI ban Pearl; APK ban Icebox; Split remains
459834,FUT Esports vs Gentle Mates,VCT 2025: EMEA Stage 1,2025-04-03 11:00:00,Bo3,FUT Esports vs Gentle Mates,2 - 1,3,Patch 10.05,M8 ban Ascent; FUT ban Haven; M8 pick Icebox; FUT pick Fracture; M8 ban Split; FUT ban Pearl; Lotus remains
459835,Team Heretics vs GIANTX,VCT 2025: EMEA Stage 1,2025-04-03 14:25:00,Bo3,Team Heretics vs GIANTX,2 - 1,3,Patch 10.05,GX ban Icebox; TH ban Pearl; GX pick Haven; TH pick Split; GX ban Ascent; TH ban Fracture; Lotus remains
459836,Team Vitality vs FNATIC,VCT 2025: EMEA Stage 1,2025-04-04 11:00:00,Bo3,Team Vitality vs FNATIC,1 - 2,3,Patch 10.05,FNC ban Icebox; VIT ban Pearl; FNC pick Split; VIT pick Lotus; FNC ban Fracture; VIT ban Ascent; Haven remains
459837,Movistar KOI(KOI) vs Karmine Corp,VCT 2025: EMEA Stage 1,2025-04-04 15:10:00,Bo3,Movistar KOI(KOI) vs Karmine Corp,0 - 2,2,Patch 10.05,MKOI ban Pearl; KC ban Fracture; MKOI pick Lotus; KC pick Icebox; MKOI ban Haven; KC ban Split; Ascent remains
459839,Movistar KOI(KOI) vs BBL Esports,VCT 2025: EMEA Stage 1,2025-04-09 11:00:00,Bo3,Movistar KOI(KOI) vs BBL Esports,0 - 2,2,Patch 10.06,BBL ban Lotus; MKOI ban Haven; BBL pick Pearl; MKOI pick Icebox; BBL ban Fracture; MKOI ban Ascent; Split remains
459840,Natus Vincere vs GIANTX,VCT 2025: EMEA Stage 1,2025-04-09 13:15:00,Bo3,Natus Vincere vs GIANTX,2 - 1,3,Patch 10.06,NAVI ban Ascent; GX ban Icebox; NAVI pick Fracture; GX pick Pearl; NAVI ban Lotus; GX ban Haven; Split remains
459841,Team Liquid vs FUT Esports,VCT 2025: EMEA Stage 1,2025-04-10 11:00:00,Bo3,Team Liquid vs FUT Esports,2 - 0,2,Patch 10.06,FUT ban Fracture; TL ban Pearl; FUT pick Lotus; TL pick Split; FUT ban Ascent; TL ban Icebox; Haven remains
459842,Team Vitality vs Team Heretics,VCT 2025: EMEA Stage 1,2025-04-10 12:50:00,Bo3,Team Vitality vs Team Heretics,0 - 2,2,Patch 10.06,TH ban Fracture; VIT ban Pearl; TH pick Haven; VIT pick Icebox; TH ban Lotus; VIT ban Ascent; Split remains
459843,Apeks vs FNATIC,VCT 2025: EMEA Stage 1,2025-04-11 11:00:00,Bo3,Apeks vs FNATIC,0 - 2,2,Patch 10.06,APK ban Fracture; FNC ban Pearl; APK pick Lotus; FNC pick Split; APK ban Haven; FNC ban Icebox; Ascent remains
459844,Karmine Corp vs Gentle Mates,VCT 2025: EMEA Stage 1,2025-04-11 14:00:00,Bo3,Karmine Corp vs Gentle Mates,2 - 0,2,Patch 10.06,M8 ban Lotus; KC ban Fracture; M8 pick Haven; KC pick Pearl; M8 ban Split; KC ban Ascent; Icebox remains
459845,Team Vitality vs Apeks,VCT 2025: EMEA Stage 1,2025-04-16 11:00:00,Bo3,Team Vitality vs Apeks,2 - 0,2,Patch 10.06,APK ban Fracture; VIT ban Pearl; APK pick Ascent; VIT pick Lotus; APK ban Icebox; VIT ban Split; Haven remains
459846,Team Liquid vs Movistar KOI(KOI),VCT 2025: EMEA Stage 1,2025-04-16 13:20:00,Bo3,Team Liquid vs Movistar KOI(KOI),2 - 0,2,Patch 10.06,MKOI ban Haven; TL ban Pearl; MKOI pick Lotus; TL pick Split; MKOI ban Fracture; TL ban Ascent; Icebox remains
459847,Gentle Mates vs BBL Esports,VCT 2025: EMEA Stage 1,2025-04-17 11:00:00,Bo3,Gentle Mates vs BBL Esports,0 - 2,2,Patch 10.06,BBL ban Icebox; M8 ban Pearl; BBL pick Lotus; M8 pick Haven; BBL ban Fracture; M8 ban Split; Ascent remains
459848,GIANTX vs FNATIC,VCT 2025: EMEA Stage 1,2025-04-17 13:10:00,Bo3,GIANTX vs FNATIC,1 - 2,3,Patch 10.06,GX ban Split; FNC ban Pearl; GX pick Ascent; FNC pick Lotus; GX ban Icebox; FNC ban Fracture; Haven remains
459849,Karmine Corp vs FUT Esports,VCT 2025: EMEA Stage 1,2025-04-18 11:00:00,Bo3,Karmine Corp vs FUT Esports,1 - 2,3,Patch 10.06,FUT ban Icebox; KC ban Fracture; FUT pick Pearl; KC pick Lotus; FUT ban Split; KC ban Haven; Ascent remains
459850,Natus Vincere vs Team Heretics,VCT 2025: EMEA Stage 1,2025-04-18 15:20:00,Bo3,Natus Vincere vs Team Heretics,0 - 2,2,Patch 10.06,TH ban Fracture; NAVI ban Lotus; TH pick Haven; NAVI pick Pearl; TH ban Ascent; NAVI ban Icebox; Split remains
459852,BBL Esports vs FUT Esports,VCT 2025: EMEA Stage 1,2025-04-23 11:00:00,Bo3,BBL Esports vs FUT Esports,2 - 0,2,Patch 10.07,BBL ban Lotus; FUT ban Haven; BBL pick Ascent; FUT pick Icebox; BBL ban Pearl; FUT ban Split; Fracture remains
459853,GIANTX vs Apeks,VCT 2025: EMEA Stage 1,2025-04-23 15:00:00,Bo3,GIANTX vs Apeks,2 - 0,2,Patch 10.07,APK ban Fracture; GX ban Split; APK pick Lotus; GX pick Ascent; APK ban Haven; GX ban Pearl; Icebox remains
459854,Gentle Mates vs Movistar KOI(KOI),VCT 2025: EMEA Stage 1,2025-04-24 11:00:00,Bo3,Gentle Mates vs Movistar KOI(KOI),1 - 2,3,Patch 10.07,M8 ban Lotus; MKOI ban Haven; M8 pick Split; MKOI pick Icebox; M8 ban Ascent; MKOI ban Pearl; Fracture remains
459855,Team Vitality vs Natus Vincere,VCT 2025: EMEA Stage 1,2025-04-24 14:05:00,Bo3,Team Vitality vs Natus Vincere,0 - 2,2,Patch 10.07,VIT ban Pearl; NAVI ban Lotus; VIT pick Haven; NAVI pick Icebox; VIT ban Split; NAVI ban Fracture; Ascent remains
459856,Team Liquid vs Karmine Corp,VCT 2025: EMEA Stage 1,2025-05-02 11:00:00,Bo3,Team Liquid vs Karmine Corp,2 - 1,3,Patch 10.07,Map 1 stats unavailable due to lobby remake.
459857,FNATIC vs Team Heretics,VCT 2025: EMEA Stage 1,2025-05-02 13:30:00,Bo3,FNATIC vs Team Heretics,0 - 2,2,Patch 10.07,FNC ban Pearl; TH ban Split; FNC pick Lotus; TH pick Haven; FNC ban Ascent; TH ban Fracture; Icebox remains
482503,BBL Esports vs Natus Vincere,VCT 2025: EMEA Stage 1,2025-05-08 11:00:00,Bo3,BBL Esports vs Natus Vincere,2 - 0,2,Patch 10.08,BBL ban Split; NAVI ban Pearl; BBL pick Lotus; NAVI pick Fracture; BBL ban Icebox; NAVI ban Haven; Ascent remains
482504,FNATIC vs FUT Esports,VCT 2025: EMEA Stage 1,2025-05-08 14:00:00,Bo3,FNATIC vs FUT Esports,2 - 0,2,Patch 10.08,FUT ban Icebox; FNC ban Pearl; FUT pick Lotus; FNC pick Split; FUT ban Fracture; FNC ban Ascent; Haven remains
482505,Natus Vincere vs Karmine Corp,VCT 2025: EMEA Stage 1,2025-05-09 11:00:00,Bo3,Natus Vincere vs Karmine Corp,2 - 1,3,Patch 10.08,KC ban Fracture; NAVI ban Pearl; KC pick Icebox; NAVI pick Split; KC ban Lotus; NAVI ban Haven; Ascent remains
482506,FUT Esports vs Team Vitality,VCT 2025: EMEA Stage 1,2025-05-09 15:05:00,Bo3,FUT Esports vs Team Vitality,2 - 0,2,Patch 10.08,FUT ban Icebox; VIT ban Pearl; FUT pick Fracture; VIT pick Split; FUT ban Haven; VIT ban Lotus; Ascent remains
482507,Team Heretics vs BBL Esports,VCT 2025: EMEA Stage 1,2025-05-10 11:00:00,Bo3,Team Heretics vs BBL Esports,2 - 0,2,Patch 10.08,BBL ban Lotus; TH ban Fracture; BBL pick Ascent; TH pick Icebox; BBL ban Split; TH ban Pearl; Haven remains
482508,Team Liquid vs FNATIC,VCT 2025: EMEA Stage 1,2025-05-10 13:25:00,Bo3,Team Liquid vs FNATIC,1 - 2,3,Patch 10.08,TL ban Pearl; FNC ban Ascent; TL pick Split; FNC pick Icebox; TL ban Haven; FNC ban Lotus; Fracture remains
482510,BBL Esports vs FUT Esports,VCT 2025: EMEA Stage 1,2025-05-11 11:00:00,Bo3,BBL Esports vs FUT Esports,2 - 1,3,Patch 10.08,Map 1 stats are unavailable due to lobby remake.
482509,Team Liquid vs Natus Vincere,VCT 2025: EMEA Stage 1,2025-05-11 14:45:00,Bo3,Team Liquid vs Natus Vincere,2 - 1,3,Patch 10.08,NAVI ban Lotus; TL ban Pearl; NAVI pick Icebox; TL pick Split; NAVI ban Fracture; TL ban Haven; Ascent remains
482515,Team Heretics vs FNATIC,VCT 2025: EMEA Stage 1,2025-05-16 11:00:00,Bo3,Team Heretics vs FNATIC,0 - 2,2,Patch 10.08,FNC ban Pearl; TH ban Split; FNC pick Fracture; TH pick Icebox; FNC ban Haven; TH ban Ascent; Lotus remains
482511,Team Liquid vs BBL Esports,VCT 2025: EMEA Stage 1,2025-05-16 13:20:00,Bo3,Team Liquid vs BBL Esports,2 - 1,3,Patch 10.08,BBL ban Lotus; TL ban Pearl; BBL pick Haven; TL pick Split; BBL ban Ascent; TL ban Icebox; Fracture remains
482512,Team Heretics vs Team Liquid,VCT 2025: EMEA Stage 1,2025-05-17 12:00:00,Bo5,Team Heretics vs Team Liquid,3 - 0,3,Patch 10.08,TH ban Fracture; TL ban Pearl; TH pick Haven; TL pick Ascent; TH pick Icebox; TL pick Lotus; Split remains
482513,FNATIC vs Team Heretics,VCT 2025: EMEA Stage 1,2025-05-18 12:00:00,Bo5,FNATIC vs Team Heretics,3 - 0,3,Patch 10.08,FNC ban Pearl; FNC ban Haven; FNC pick Split; TH pick Icebox; FNC pick Fracture; TH pick Lotus; Ascent remains
